ID;SENSOR;YEAR;MONTH;DAY;DATE;JULIAN;COUNT;NA;SUM;MEAN;MAX;MIN;MEDIAN;RANGE;VAR_S; SD_M ;9003;9009;10262;11118;11147;11155;16261;16338;16351;16381;16404;16426;16460
LC08_199034_20150623;LC08;2015;6;23;23/06/2015;173;8;5;4,084697694;0,510587212;0,68132329;0,34676066;0,485646635;0,334562629;0,011983173;0,10946768;0,624576271;0,68132329;0,422029704;0,34676066;0,472327054;;;0,570852935;;;0,498966217;;0,467861563
LC08_199034_20150709;LC08;2015;7;9;09/07/2015;189;13;0;6,365664363;0,489666489;0,652943611;0,241566271;0,486409158;0,411377341;0,015381211;0,124021009;0,598175406;0,652943611;0,404050142;0,3270109;0,436726928;0,241566271;0,444361478;0,521327019;0,579947591;0,631392062;0,486409158;0,606746197;0,435007602
LC08_199034_20150725;LC08;2015;7;25;25/07/2015;205;13;0;7,252596647;0,55789205;0,740967691;0,382570177;0,528337777;0,358397514;0,013621128;0,11670959;0,740967691;0,6915254;0,451346487;0,39675349;0,504412293;0,382570177;0,493259311;0,588677883;0,638586044;0,663097799;0,528337777;0,675819337;0,497242957
LC08_199034_20150810;LC08;2015;8;10;10/08/2015;221;4;9;2,075611591;0,518902898;0,598739922;0,437118441;0,519876614;0,161621481;0,007502575;0,086617405;0,588590443;0,598739922;;;0,451162785;;;;;;;;0,437118441
LC08_199034_20150826;LC08;2015;8;26;26/08/2015;237;13;0;7,077640653;0,544433896;0,676572204;0,356348753;0,540529191;0,320223451;0,011590325;0,107658374;0,676572204;0,654721677;0,450333714;0,407295972;0,521422803;0,356348753;0,470167071;0,576573312;0,655489802;0,640513539;0,540529191;0,656062722;0,47160989
LC08_199034_20150911;LC08;2015;9;11;11/09/2015;253;2;11;0,826595604;0,413297802;0,457986385;0,36860922;0,413297802;0,089377165;0,003994139;0,063199199;;;;;;;0,36860922;;;;;0,457986385;
LC08_199034_20150927;LC08;2015;9;27;27/09/2015;269;7;6;4,113288879;0,587612697;0,686906457;0,447903693;0,605797112;0,239002764;0,008382944;0,091558417;0,686906457;0,677141428;0,447903693;;0,543801665;;;;0,647905767;;0,605797112;;0,503832757
LC08_199034_20151013;LC08;2015;10;13;13/10/2015;285;7;6;4,568680316;0,652668617;0,815255105;0,497000009;0,65415746;0,318255097;0,013745671;0,117241935;0,815255105;0,728165388;0,497000009;;0,65415746;;0,537956893;;;;;0,747039855;0,589105606
LC08_199034_20151029;LC08;2015;10;29;29/10/2015;301;13;0;8,396679789;0,645898445;0,763807297;0,453778297;0,681085646;0,310029;0,008353756;0,091398882;0,725520849;0,689146459;0,557457209;0,530977964;0,65397352;0,453778297;0,58584255;0,681085646;0,690729797;0,728301883;0,720488489;0,763807297;0,61556983
LC08_199034_20151114;LC08;2015;11;14;14/11/2015;317;10;3;6,369320989;0,636932099;0,767154992;0,413069695;0,679244071;0,354085296;0,016421545;0,128146575;0,450289696;0,413069695;0,588100672;;;;0,563599825;0,69861865;0,745545268;0,734061956;0,767154992;0,749010742;0,659869492
LC08_199034_20151130;LC08;2015;11;30;30/11/2015;333;13;0;8,935395986;0,687338153;0,854315579;0,453562349;0,711776435;0,40075323;0,01469234;0,121211964;0,84472388;0,854315579;0,545811534;0,591897249;0,627976179;0,453562349;0,592911363;0,711776435;0,721276581;0,754422486;0,799824417;0,775842071;0,661055863
LC08_199034_20151216;LC08;2015;12;16;16/12/2015;349;13;0;7,37713635;0,567472027;0,739741445;0,406986654;0,575048745;0,332754791;0,011204527;0,10585144;0,739741445;0,70182842;0,472103;0,493670881;0,426829278;0,406986654;0,492933631;0,618843675;0,584869683;0,679899156;0,575048745;0,638186157;0,546195626
LC08_199034_20160101;LC08;2016;1;1;01/01/2016;0;13;0;8,784130305;0,675702331;0,829391897;0,429504305;0,673028469;0,399887592;0,015204845;0,123307926;0,823761284;0,829391897;0,544468522;0,61038959;0,651341021;0,429504305;0,539411187;0,695933104;0,673028469;0,7561813;0,812619507;0,771428585;0,646671534
LC08_199034_20160117;LC08;2016;1;17;17/01/2016;16;2;11;0,882242948;0,441121474;0,524263442;0,357979506;0,441121474;0,166283935;0,013825174;0,117580498;;;;;;;0,357979506;;;;;0,524263442;
LC08_199034_20160202;LC08;2016;2;2;02/02/2016;32;13;0;8,4478167;0,649832054;0,855064631;0,416719049;0,650805295;0,438345581;0,016318441;0,127743655;0,855064631;0,776227832;0,50583899;0,567951322;0,639697969;0,416719049;0,489441574;0,675200641;0,650805295;0,737789214;0,761695921;0,743357837;0,628026426
LC08_199034_20160305;LC08;2016;3;5;05/03/2016;64;12;1;7,346915454;0,612242954;0,837037027;0,387346685;0,616207451;0,449690342;0,020111073;0,141813516;0,837037027;0,808721483;0,480998904;0,522177398;;0,387346685;0,422899365;0,624600649;0,607814252;0,703675032;0,671248555;0,69826138;0,582134724
LC08_199034_20160524;LC08;2016;5;24;24/05/2016;144;13;0;5,816621214;0,447432401;0,579541445;0,243191898;0,46325168;0,336349547;0,010558921;0,102756612;0,546711326;0,566470444;0,363348573;0,318567723;0,420299292;0,243191898;0,359851301;0,494998276;0,481578946;0,579541445;0,46325168;0,535387158;0,443423152
LC08_199034_20160609;LC08;2016;6;9;09/06/2016;160;13;0;5,352042869;0,411695605;0,562805891;0,231192663;0,425263882;0,331613228;0,010051551;0,100257424;0,477537423;0,558623552;0,331968606;0,313411087;0,342857152;0,231192663;0,315284431;0,461640209;0,466922343;0,562805891;0,425263882;0,468702286;0,395833343
LC08_199034_20160625;LC08;2016;6;25;25/06/2016;176;13;0;5,691709191;0,437823784;0,611332953;0,302127659;0,423565775;0,309205294;0,009890937;0,099453189;0,55313462;0,611332953;0,343621403;0,309050769;0,399868667;0,302127659;0,337086558;0,478957921;0,472548395;0,545670629;0,423565775;0,503924668;0,410819173
LC08_199034_20160711;LC08;2016;7;11;11/07/2016;192;13;0;6,06488663;0,466529741;0,619356155;0,334554344;0,460568964;0,284801811;0,009088641;0,095334362;0,522796333;0,619356155;0,362162173;0,337662339;0,452979684;0,334554344;0,379896522;0,508433759;0,492976159;0,589975655;0,460568964;0,571488798;0,432035744
