ID;SENSOR;YEAR;MONTH;DAY;DATE;JULIAN;COUNT;NA;SUM;MEAN;MAX;MIN;MEDIAN;RANGE;VAR_S; SD_M ;15091;10322;10494;12266;10400;8542;6216;6272;5877;10444;10409;11525;11425;11385;12818;11365;11454;14554;12626;11405
LC08_199034_20151114;LC08;2015;11;14;14/11/2015;317;11;9;6,811949283;0,619268117;0,805825233;0,479240805;0,630648315;0,326584428;0,0100331;0,100165361;;0,805825233;0,630648315;0,511288166;0,682345748;0,551790893;0,682367146;0,650365829;0,721411169;0,479240805;;;;0,539577842;;;;0,557088137;;
LC08_199034_20151130;LC08;2015;11;30;30/11/2015;333;20;0;12,91826996;0,645913498;0,84117645;0,496453911;0,629641384;0,344722539;0,008114241;0,090079083;0,84117645;0,797160268;0,667093456;0,617647052;0,705194831;0,652750909;0,589339793;0,680560708;0,746630728;0,496453911;0,577918351;0,584826112;0,71207428;0,550387621;0,735738635;0,636133373;0,600000024;0,527577043;0,623149395;0,576457024
LC08_199034_20151216;LC08;2015;12;16;16/12/2015;349;20;0;9,921381206;0,49606906;0,609039545;0,302112043;0,50485763;0,306927502;0,007813856;0,088396021;0,575257719;0,506319702;0,544217706;0,518035293;0,588265061;0,488636374;0,488461524;0,59512037;0,609039545;0,374197304;0,523216307;0,445606709;0,591240883;0,351984382;0,585788548;0,302112043;0,38219896;0,503395557;0,489878535;0,458408684
LC08_199034_20160101;LC08;2016;1;1;01/01/2016;0;19;1;11,94065902;0,628455738;0,81298703;0,451840252;0,620370388;0,361146778;0,009638469;0,098175703;;0,81298703;0,652661085;0,610084057;0,714099228;0,570293248;0,575846851;0,678144276;0,745479822;0,451840252;0,620370388;0,54910332;0,727801502;0,461454928;0,718181789;0,582633078;0,72868216;0,517423928;0,627189934;0,596382141
LC08_199034_20160117;LC08;2016;1;17;17/01/2016;16;1;19;0,372677594;0,372677594;0,372677594;0,372677594;0,372677594;0;;;;;;;;;;;;0,372677594;;;;;;;;;;
LC08_199034_20160202;LC08;2016;2;2;02/02/2016;32;20;0;12,08977392;0,604488696;0,7733711;0,434666663;0,587512851;0,338704437;0,008955713;0,094634631;0,771929801;0,7733711;0,630354941;0,548435152;0,651685417;0,539390445;0,51030606;0,632623076;0,707129121;0,434666663;0,582507312;0,498495489;0,701843858;0,535842299;0,705385447;0,547926903;0,654516637;0,497911841;0,592518389;0,572933972
LC08_199034_20160305;LC08;2016;3;5;05/03/2016;64;20;0;10,9051145;0,545255725;0,739316225;0,326866299;0,532779128;0,412449926;0,009631461;0,098140006;0,739316225;0,692737401;0,57485348;0,460659891;0,566447675;0,475319922;0,486815423;0,577812016;0,650267363;0,420274556;0,505165875;0,513949573;0,633943439;0,551413119;0,642894328;0,514081538;0,595824003;0,462327242;0,514145136;0,326866299
LC08_199034_20160524;LC08;2016;5;24;24/05/2016;144;20;0;8,777797283;0,438889864;0,595164478;0,24242425;0,458239749;0,352740228;0,008290693;0,091053245;0,51314193;0,470447272;0,420279205;0,24242425;0,406405687;0,490607262;0,381779522;0,49253732;0,540530443;0,408053696;0,324971497;0,446032226;0,486206889;0,537007868;0,510878325;0,595164478;0,383567125;0,495526493;0,314561546;0,317674249
LC08_199034_20160609;LC08;2016;6;9;09/06/2016;160;20;0;8,200739401;0,41003697;0,567724884;0,225181594;0,427831576;0,34254329;0,00879534;0,093783475;0,431501836;0,428674877;0,396433473;0,225181594;0,369936377;0,567724884;0,38541308;0,462453067;0,52617079;0,394973636;0,275112182;0,49877283;0,426988274;0,488676667;0,463377029;0,52654624;0,326951385;0,437560201;0,29037267;0,277918309
LC08_199034_20160625;LC08;2016;6;25;25/06/2016;176;20;0;8,537888556;0,426894428;0,552371025;0,258195221;0,440538794;0,294175804;0,00690283;0,08308327;0,500749648;0,465917617;0,424753875;0,258195221;0,38210842;0,429986954;0,505497932;0,433333337;0,50897789;0,454773873;0,294953793;0,435856134;0,445221454;0,509381115;0,480922103;0,552371025;0,346094936;0,484226644;0,295207411;0,329359174
LC08_199034_20160711;LC08;2016;7;11;11/07/2016;192;20;0;9,149635612;0,457481781;0,605089068;0,270696968;0,475237325;0,3343921;0,008933422;0,09451678;0,548693597;0,501385033;0,476329207;0,270696968;0,406420767;0,46935609;0,571208835;0,465177387;0,524873853;0,479035974;0,309036821;0,439497411;0,475842893;0,5264045;0,474631757;0,605089068;0,354990214;0,575850427;0,319005489;0,356109321
LC08_199034_20160727;LC08;2016;7;27;27/07/2016;208;20;0;9,055737256;0,452786863;0,571611583;0,266745001;0,465469972;0,304866582;0,008121615;0,090120003;0,549468517;0,527986646;0,445551872;0,266745001;0,409916192;0,43974629;0,507142842;0,455209017;0,522420704;0,506613731;0,32230103;0,484366417;0,463888884;0,571222186;0,467051059;0,571611583;0,348604739;0,529525638;0,326863706;0,339501202
LC08_199034_20160812;LC08;2016;8;12;12/08/2016;224;13;7;5,665370256;0,435797712;0,558978856;0,25;0,434748232;0,308978856;0,007708246;0,087796614;0,558978856;0,527257621;0,429951698;0,25;0,433935016;0,532647789;0,361130267;0,483191848;;0,451818764;0,365791708;0,434748232;;;;;;0,493476093;0,342442364;
LC08_199034_20160828;LC08;2016;8;28;28/08/2016;240;6;14;1,906737401;0,317789567;0,415273666;0,245061144;0,287100673;0,170212522;0,0054606;0,073895875;;0,415273666;0,245061144;;;;;0,406652689;;;;;;;;;0,287820011;;0,286381334;0,265548557
